coefficients,attributes
0.9646916801644437,advanced_appt_yn
0.5110923963875663,within_week_appt_yn
0.27137063712945647,alcoholism
0.25569597777839337,young_adult_yn
0.24798674714431593,welfare_assistance
0.17953610644134343,saturday_yn
0.1698945554149497,repeat_patient_yn
0.14514312323561807,diabetes
0.13988188523653394,child_yn
0.07576791529388144,handicap_yn
0.06583520106454466,neighborhood_income_lower_yn
0.050707522048025096,gender_yn
0.02323589120836922,day_after_holiday_yn
0.01716868801320757,monday_yn
-0.009522268299172371,tuesday_yn
-0.030683718461997075,friday_yn
-0.053394742781990225,neighborhood_income_middle_yn
-0.05370296280940274,neigborhood_income_higher_yn
-0.06989859596991749,adult_yn
-0.07678785530691003,wednesday_yn
-0.1209734569136606,thursday_yn
-0.1210027194408329,hypertension
-0.21151109706042326,sms_received
-0.36694177157235747,senior_yn
-1.517046581078831,same_day_appt_yn
