feature_importances,feature_names
0.20507086874946961,same_day_appt_yn
0.1298438841192259,advanced_appt_yn
0.06770171192897362,repeat_patient_yn
0.06714543142056983,sms_received
0.057117893516594895,within_week_appt_yn
0.041000927120004284,welfare_assistance
0.03960254232174929,diabetes
0.038034357782578285,hypertension
0.03055387686632446,handicap_yn
0.03043643503475341,alcoholism
0.02408070247895387,senior_yn
0.022766412756970587,tuesday_yn
0.02254891172296529,wednesday_yn
0.022338622641080455,monday_yn
0.021868259325558845,male_yn
0.021817720820425233,female_yn
0.02090148997592598,day_after_holiday_yn
0.02069029897455521,friday_yn
0.020315198157934797,thursday_yn
0.01894230953488027,neighborhood_income_lower_yn
0.018825603379797134,neigborhood_income_higher_yn
0.015577374984772574,young_adult_yn
0.015043390797491151,neighborhood_income_middle_yn
0.014030926172107248,adult_yn
0.013137284241384611,child_yn
0.0006075651749531699,saturday_yn
