feature_importances,feature_names
0.37308060685167915,same_day_appt_yn
0.2274592424625938,advanced_appt_yn
0.08824792709448473,within_week_appt_yn
0.045259458720152725,sms_received
0.028657174544619964,senior_yn
0.02860604277218793,repeat_patient_yn
0.0193898190144895,gender_yn
0.015249147081843682,welfare_assistance
0.014679371946771536,hypertension
0.013984595496365198,young_adult_yn
0.013583750902912708,neighborhood_income_lower_yn
0.012632808382427661,child_yn
0.012331139337344922,handicap_yn
0.012144208844246331,alcoholism
0.01190499308370748,neigborhood_income_higher_yn
0.01179022244153371,adult_yn
0.011620435544467275,diabetes
0.010259691686422824,monday_yn
0.008839888466965675,neighborhood_income_middle_yn
0.0087359299865183,friday_yn
0.00863228849031913,wednesday_yn
0.008115515600137733,thursday_yn
0.007676475173189331,tuesday_yn
0.006504276797831949,day_after_holiday_yn
0.0006149892767867418,saturday_yn
